"ster.not","species","fix","sample_id","status","family","T1_empty","T2_alien_native","trans_date_c"
"ster","Lotus_corniculatus","1763","FDMP19H001154-1a_L1_SV1763","native","Leguminosae",0.333333333333333,-0.5,0
"ster","Lotus_corniculatus","1764","FDMP19H001154-1a_L1_SV1764","native","Leguminosae",0.333333333333333,-0.5,0
"ster","Lotus_corniculatus","1765","FDMP19H001154-1a_L1_SV1765","native","Leguminosae",0.333333333333333,-0.5,0
"ster","Onobrychis_viciifolia","1766","FDMP19H001154-1a_L1_SV1766","alien","Leguminosae",0.333333333333333,0.5,0
"ster","Onobrychis_viciifolia","1767","FDMP19H001154-1a_L1_SV1767","alien","Leguminosae",0.333333333333333,0.5,0
"ster","Onobrychis_viciifolia","1768","FDMP19H001154-1a_L1_SV1768","alien","Leguminosae",0.333333333333333,0.5,0
"ster","Onobrychis_viciifolia","1769","FDMP19H001154-1a_L1_SV1769","alien","Leguminosae",0.333333333333333,0.5,0
"ster","Onobrychis_viciifolia","1770","FDMP19H001154-1a_L1_SV1770","alien","Leguminosae",0.333333333333333,0.5,0
"ster","Salvia_pratensis","1771","FDMP19H001154-1a_L1_SV1771","native","Lamiaceae",0.333333333333333,-0.5,0
"ster","Salvia_pratensis","1772","FDMP19H001154-1a_L1_SV1772","native","Lamiaceae",0.333333333333333,-0.5,0
"ster","Salvia_pratensis","1773","FDMP19H001154-1a_L1_SV1773","native","Lamiaceae",0.333333333333333,-0.5,0
"ster","Salvia_pratensis","1774","FDMP19H001154-1a_L1_SV1774","native","Lamiaceae",0.333333333333333,-0.5,0
"ster","Salvia_verticillata","1776","FDMP19H001154-1a_L1_SV1776","alien","Lamiaceae",0.333333333333333,0.5,15
"ster","Salvia_verticillata","1777","FDMP19H001154-1a_L1_SV1777","alien","Lamiaceae",0.333333333333333,0.5,15
"ster","Solidago_gigantea","1782","FDMP19H001154-1a_L1_SV1782","alien","Compositae",0.333333333333333,0.5,20
"ster","Solidago_gigantea","1784","FDMP19H001154-1a_L1_SV1784","alien","Compositae",0.333333333333333,0.5,20
"ster","Solidago_gigantea","1785","FDMP19H001154-1a_L1_SV1785","alien","Compositae",0.333333333333333,0.5,20
"ster","Plantago_media","1786","FDMP19H001154-1a_L1_SV1786","native","Plantaginaceae",0.333333333333333,-0.5,2
"ster","Plantago_media","1787","FDMP19H001154-1a_L1_SV1787","native","Plantaginaceae",0.333333333333333,-0.5,2
"ster","Plantago_media","1788","FDMP19H001154-1a_L1_SV1788","native","Plantaginaceae",0.333333333333333,-0.5,2
"ster","Plantago_media","1789","FDMP19H001154-1a_L1_SV1789","native","Plantaginaceae",0.333333333333333,-0.5,2
"ster","Plantago_media","1790","FDMP19H001160-1a_L1_SV1790","native","Plantaginaceae",0.333333333333333,-0.5,2
