"ster.not","species","fix","sample_id","status","family","T1_empty","T2_alien_native","trans_date_c"
"nonster","Cynosurus_cristatus","604","FDMP19H001243-1a_L1_ITS604","native","Poaceae",0.333333333333333,-0.5,0
"nonster","Leontodon_autumnalis","611","FDMP19H001243-1a_L1_ITS611","native","Compositae",0.333333333333333,-0.5,0
"nonster","Leontodon_autumnalis","633","FDMP19H001243-1a_L1_ITS633","native","Compositae",0.333333333333333,-0.5,0
"nonster","Leontodon_autumnalis","652","FDMP19H001243-1a_L1_ITS652","native","Compositae",0.333333333333333,-0.5,0
"nonster","Leontodon_autumnalis","691","FDMP19H001243-1a_L1_ITS691","native","Compositae",0.333333333333333,-0.5,0
"nonster","Leontodon_autumnalis","697","FDMP19H001243-1a_L1_ITS697","native","Compositae",0.333333333333333,-0.5,0
"nonster","Leontodon_autumnalis","712","FDMP19H001243-1a_L1_ITS712","native","Compositae",0.333333333333333,-0.5,0
"nonster","Lolium_multiflorum","775","FDMP19H001243-1a_L1_ITS775","alien","Poaceae",0.333333333333333,0.5,0
"nonster","Lolium_multiflorum","799","FDMP19H001243-1a_L1_ITS799","alien","Poaceae",0.333333333333333,0.5,0
"nonster","Lolium_multiflorum","800","FDMP19H001243-1a_L1_ITS800","alien","Poaceae",0.333333333333333,0.5,0
"nonster","Lolium_multiflorum","814","FDMP19H001243-1a_L1_ITS814","alien","Poaceae",0.333333333333333,0.5,0
"nonster","Lolium_multiflorum","850","FDMP19H001243-1a_L1_ITS850","alien","Poaceae",0.333333333333333,0.5,0
"nonster","Lolium_multiflorum","880","FDMP19H001243-1a_L1_ITS880","alien","Poaceae",0.333333333333333,0.5,0
"nonster","Lotus_corniculatus","936","FDMP19H001243-1a_L1_ITS936","native","Leguminosae",0.333333333333333,-0.5,0
"nonster","Lotus_corniculatus","940","FDMP19H001243-1a_L1_ITS940","native","Leguminosae",0.333333333333333,-0.5,0
"nonster","Lotus_corniculatus","946","FDMP19H001243-1a_L1_ITS946","native","Leguminosae",0.333333333333333,-0.5,0
"nonster","Lotus_corniculatus","957","FDMP19H001243-1a_L1_ITS957","native","Leguminosae",0.333333333333333,-0.5,0
"nonster","Lotus_corniculatus","966","FDMP19H001243-1a_L1_ITS966","native","Leguminosae",0.333333333333333,-0.5,0
