fix,sp_p1,family_p1,origin_p1,bio_p1,bio_p1_0,target,family,origin_p2,biomass,root,comp,family_comp,competition,trans_date_c,comb
1210,Salvia pratensis,Lamiaceae,native,3.994,3.994,Epilobium ciliatum,Onagraceae,alien,0.806,NA,Plantago media,Plantaginaceae,inter,0,H20
781,Lolium multiflorum,Poaceae,alien,3.07,3.07,Plantago media,Plantaginaceae,native,0.371,NA,Senecio inaequidens,Compositae,inter,0,H25
781,Lolium multiflorum,Poaceae,alien,3.07,3.07,Senecio inaequidens,Compositae,alien,1.333,NA,Plantago media,Plantaginaceae,inter,0,H25
1597,Plantago media,Plantaginaceae,native,2.648,2.648,Leontodon autumnalis,Compositae,native,0.053,NA,Lolium multiflorum,Poaceae,inter,2,H12
1597,Plantago media,Plantaginaceae,native,2.648,2.648,Lolium multiflorum,Poaceae,alien,1.838,NA,Leontodon autumnalis,Compositae,inter,2,H12
1096,Onobrychis viciifolia,Leguminosae,alien,1.331,1.331,Salvia pratensis,Lamiaceae,native,0.649,NA,Senecio inaequidens,Compositae,inter,0,H24
1096,Onobrychis viciifolia,Leguminosae,alien,1.331,1.331,Senecio inaequidens,Compositae,alien,1.401,NA,Salvia pratensis,Lamiaceae,inter,0,H24
1488,Solidago gigantea,Compositae,alien,3.946,3.946,Dactylis glomerata,Poaceae,native,0.956,NA,Onobrychis viciifolia,Leguminosae,inter,20,H6
1488,Solidago gigantea,Compositae,alien,3.946,3.946,Onobrychis viciifolia,Leguminosae,alien,0.107,NA,Dactylis glomerata,Poaceae,inter,20,H6
1185,Salvia pratensis,Lamiaceae,native,4.71,4.71,Lolium multiflorum,Poaceae,alien,0.865,NA,Lolium multiflorum,Poaceae,intra,0,C8
1185,Salvia pratensis,Lamiaceae,native,4.71,4.71,Lolium multiflorum,Poaceae,alien,0.66,NA,Lolium multiflorum,Poaceae,intra,0,C8
1,empty,empty,empty,NA,0,Lolium multiflorum,Poaceae,alien,3.098,1.883,alone,alone,alone,0,A8
800,Lolium multiflorum,Poaceae,alien,3.285,3.285,Dactylis glomerata,Poaceae,native,1.139,NA,Solidago canadensis,Compositae,inter,0,H1
800,Lolium multiflorum,Poaceae,alien,3.285,3.285,Solidago canadensis,Compositae,alien,0.397,NA,Dactylis glomerata,Poaceae,inter,0,H1
936,Lotus corniculatus,Leguminosae,native,2.335,2.335,Plantago media,Plantaginaceae,native,0.244,0.033,alone,alone,alone,0,A5
1472,Solidago gigantea,Compositae,alien,4.176,4.176,Plantago media,Plantaginaceae,native,0.709,NA,Solidago canadensis,Compositae,inter,20,H5
1472,Solidago gigantea,Compositae,alien,4.176,4.176,Solidago canadensis,Compositae,alien,0.82,NA,Plantago media,Plantaginaceae,inter,20,H5
1635,Plantago media,Plantaginaceae,native,2.711,2.711,Lotus corniculatus,Leguminosae,native,0.442,NA,Onobrychis viciifolia,Leguminosae,inter,2,H8
1635,Plantago media,Plantaginaceae,native,2.711,2.711,Onobrychis viciifolia,Leguminosae,alien,0.472,NA,Lotus corniculatus,Leguminosae,inter,2,H8
1688,Plantago media,Plantaginaceae,native,3.495,3.495,Solidago canadensis,Compositae,alien,0.79,0.536,alone,alone,alone,2,A6
1265,Salvia pratensis,Lamiaceae,native,4.045,4.045,Senecio inaequidens,Compositae,alien,0.563,NA,Senecio inaequidens,Compositae,intra,0,C10
1265,Salvia pratensis,Lamiaceae,native,4.045,4.045,Senecio inaequidens,Compositae,alien,1.363,NA,Senecio inaequidens,Compositae,intra,0,C10
533,Cynosurus cristatus,Poaceae,native,3.487,3.487,Salvia pratensis,Lamiaceae,native,0.802,NA,Lolium multiflorum,Poaceae,inter,0,H14
